path,label,category,quality,vertical_impulse_pos_0p6,gyro_mean_1s,gyro_axis_consistency_1s,target,rule_pred
data/03_curated_manual_floor/pickup-carry-r01.jsonl,pickup_carry,03_curated_manual_floor,curated_exploratory,1.6436299942,3.3381851585,0.253034123,1,1
data/03_curated_manual_floor/restrained-repeated-taps-r01.jsonl,impact_tap,03_curated_manual_floor,curated_exploratory,0.2552766592,2.3122516564,0.5961049513,0,0
data/03_curated_manual_floor/roll-manual-light-r01.jsonl,rolling,03_curated_manual_floor,curated_exploratory,0.3541425734,15.3327738371,0.9870501323,0,0
data/03_curated_manual_floor/roll-manual-medium-r01.jsonl,rolling,03_curated_manual_floor,curated_exploratory,0.5881535946,14.1580829351,0.9959702404,0,0
data/06_field_pickup/field-20260904-130555-pickup_carry-r01.jsonl,pickup_carry,06_field_pickup,usable_exploratory,1.5573675646,4.0426740043,0.4289386308,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r02.jsonl,pickup_carry,06_field_pickup,usable_exploratory,1.7268733961,4.4180142278,0.6043786536,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r03.jsonl,pickup_carry,06_field_pickup,usable_exploratory,4.1307950911,7.2094547657,0.2762642456,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r04.jsonl,pickup_carry,06_field_pickup,usable_exploratory,2.4484355839,5.4405290938,0.5769708077,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r05.jsonl,pickup_carry,06_field_pickup,usable_exploratory,1.6604028005,4.7751967091,0.4987627345,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r06.jsonl,pickup_carry,06_field_pickup,usable_exploratory,0.6432133895,3.0747468127,0.4433634003,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r07.jsonl,pickup_carry,06_field_pickup,usable_with_timing_warning,1.6705786491,5.4661482564,0.3859463492,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r08.jsonl,pickup_carry,06_field_pickup,usable_exploratory,2.0138089363,3.8224260744,0.4242450775,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r09.jsonl,pickup_carry,06_field_pickup,usable_with_timing_warning,1.264433207,3.477718298,0.4719331002,1,1
data/06_field_pickup/field-20260904-130555-pickup_carry-r10.jsonl,pickup_carry,06_field_pickup,usable_exploratory,1.1970115312,3.0927376499,0.2789944362,1,1
data/07_field_putt/field-20260904-132804-1-putt_normal-r01.jsonl,putt_normal,07_field_putt,mixed_suspected_collision,3.6930213663,36.9741011931,0.9759947255,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r02.jsonl,putt_normal,07_field_putt,mixed_suspected_collision,3.1961030447,42.4695233835,0.9447872892,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r03.jsonl,putt_normal,07_field_putt,mixed_suspected_collision,7.9611035173,44.3353578314,0.9828418371,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r04.jsonl,putt_normal,07_field_putt,mixed_suspected_collision,3.7826792489,45.464444365,0.8849698306,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r07.jsonl,putt_normal,07_field_putt,usable_clean_candidate,0.852465878,32.4824077161,0.9968162045,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r08.jsonl,putt_normal,07_field_putt,usable_with_timing_warning,1.2386300434,41.1125657991,0.9942933131,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r09.jsonl,putt_normal,07_field_putt,usable_clean_candidate,1.9873597939,37.7073712799,0.9802610803,0,0
data/07_field_putt/field-20260904-132804-1-putt_normal-r10.jsonl,putt_normal,07_field_putt,usable_clean_candidate,1.4194000578,34.370299903,0.9827228323,0,0
