episode_id,scenario,feature_sample_count_gyro,gyro_clip_samples_1s,target,mean_norm_lower_bound_rads,rejects_existing_gyro_predicate,new_pickup_rule_decision
putt-gentle-light-r04,putt_gentle,50,40,0,27.3667624,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-light-r07,putt_gentle,50,32,0,21.89340992,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-r05-replacement,putt_gentle,50,41,0,28.050931459999997,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-varied-r08,putt_gentle,50,39,0,26.68259334,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-varied-r09,putt_gentle,50,28,0,19.156733680000002,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-varied-r10,putt_gentle,50,42,0,28.73510052,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-very-light-r01,putt_gentle,50,17,0,11.63087402,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-very-light-r02,putt_gentle,50,41,0,28.050931459999997,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-gentle-very-light-r03,putt_gentle,51,39,0,26.159405235294116,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-rail-firm-r08,putt_rail_collision,50,13,0,8.89419778,False,UNKNOWN
putt-rail-firm-r09,putt_rail_collision,50,37,0,25.31425522,True,PICKUP_RULE_REJECTED_BY_BOUND
putt-rail-firm-r10,putt_rail_collision,51,7,0,4.695277862745098,False,UNKNOWN
putt-rail-light-r01,putt_rail_collision,50,2,0,1.36833812,False,UNKNOWN
putt-rail-light-r02,putt_rail_collision,50,3,0,2.0525071799999997,False,UNKNOWN
putt-rail-light-r03,putt_rail_collision,50,13,0,8.89419778,False,UNKNOWN
putt-rail-normal-r04,putt_rail_collision,50,12,0,8.210028719999999,False,UNKNOWN
putt-rail-normal-r05,putt_rail_collision,51,4,0,2.6830159215686273,False,UNKNOWN
putt-rail-normal-r06,putt_rail_collision,50,4,0,2.73667624,False,UNKNOWN
putt-rail-normal-r07,putt_rail_collision,51,15,0,10.061309705882353,True,PICKUP_RULE_REJECTED_BY_BOUND
