model,n,tn,fp,fn,tp,precision,recall,f1,balanced_accuracy,evaluation
logistic_C1,22,10,1,0,11,0.9166666666666666,1.0,0.9565217391304348,0.9545454545454546,baseline22_LOEO
linear_svm_C1,22,10,1,0,11,0.9166666666666666,1.0,0.9565217391304348,0.9545454545454546,baseline22_LOEO
rbf_svm_C1,22,10,1,0,11,0.9166666666666666,1.0,0.9565217391304348,0.9545454545454546,baseline22_LOEO
tree_depth2,22,10,1,1,10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,baseline22_LOEO
rf200,22,10,1,0,11,0.9166666666666666,1.0,0.9565217391304348,0.9545454545454546,baseline22_LOEO
rf200_depth3,22,10,1,0,11,0.9166666666666666,1.0,0.9565217391304348,0.9545454545454546,baseline22_LOEO
logistic_C1,41,21,0,0,20,1.0,1.0,1.0,1.0,precision41_LOEO
linear_svm_C1,41,21,0,0,20,1.0,1.0,1.0,1.0,precision41_LOEO
rbf_svm_C1,41,21,0,0,20,1.0,1.0,1.0,1.0,precision41_LOEO
tree_depth2,41,20,1,0,20,0.9523809523809523,1.0,0.975609756097561,0.9761904761904762,precision41_LOEO
rf200,41,21,0,0,20,1.0,1.0,1.0,1.0,precision41_LOEO
rf200_depth3,41,21,0,0,20,1.0,1.0,1.0,1.0,precision41_LOEO
logistic_C1,41,15,6,2,18,0.75,0.9,0.8181818181818182,0.8071428571428572,precision41_leave_scenario_out
linear_svm_C1,41,16,5,2,18,0.782608695652174,0.9,0.8372093023255814,0.8309523809523809,precision41_leave_scenario_out
rbf_svm_C1,41,16,5,2,18,0.782608695652174,0.9,0.8372093023255814,0.8309523809523809,precision41_leave_scenario_out
tree_depth2,41,12,9,0,20,0.6896551724137931,1.0,0.8163265306122449,0.7857142857142857,precision41_leave_scenario_out
rf200,41,15,6,1,19,0.76,0.95,0.8444444444444444,0.8321428571428571,precision41_leave_scenario_out
rf200_depth3,41,15,6,1,19,0.76,0.95,0.8444444444444444,0.8321428571428571,precision41_leave_scenario_out
