episode_key,source,label,semantic_quality,target,prediction,reason,scorable,correct
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-varied-r09,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1e_step::track-step-fast-r10,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_step::track-step-fast-r09,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1a::handling-slide-r08,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-normal-r01,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-normal-r04,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r04,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r08,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r05,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-normal-r03,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-firm-r08,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r03,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-slow-r05,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1a::handling-slide-r09,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_step::track-step-normal-r05,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_step::track-step-slow-r02,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r06,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-normal-r05,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1a::handling-rotate-r06,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-light-r07,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-very-light-r02,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-light-r03,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1a::handling-rotate-r04,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-light-r06,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-very-light-r01,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-near-stop-r10,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-normal-r06,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r10,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-very-light-r03,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-plus-obstacle-r05,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,MIXED,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1a::handling-touch-r02,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_step::track-step-normal-r04,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
