label,semantic_quality,episodes
,WARNING,5
handling,WARNING,14
impact_tap,WARNING,1
low_speed_boundary_10rpm,WARNING,1
low_speed_boundary_15rpm,WARNING,1
low_speed_boundary_1rpm,WARNING,1
low_speed_boundary_20rpm,WARNING,1
low_speed_boundary_2rpm,WARNING,1
low_speed_boundary_3rpm,WARNING,1
low_speed_boundary_5rpm,WARNING,1
low_speed_boundary__10rpm,WARNING,1
low_speed_boundary__15rpm,WARNING,1
low_speed_boundary__1rpm,WARNING,1
low_speed_boundary__20rpm,WARNING,1
low_speed_boundary__2rpm,WARNING,1
low_speed_boundary__3rpm,WARNING,1
low_speed_boundary__5rpm,WARNING,1
pickup_carry,INVALID,1
pickup_carry,WARNING,30
pickup_drop,CLEAN_OPERATOR_LABEL,10
pickup_drop,INVALID,1
putt_gentle,MIXED,1
putt_gentle,WARNING,10
putt_normal,MIXED,4
putt_normal,WARNING,6
putt_rail_collision,WARNING,10
roller_120rpm,WARNING,6
roller_120rpm_decel005,WARNING,1
roller_120rpm_decel080,WARNING,1
roller_120rpm_live,INVALID,1
roller_120rpm_live,WARNING,1
roller_120rpm_long10,WARNING,1
roller_135rpm_high_boundary,WARNING,1
roller_150rpm_high_boundary,WARNING,1
roller_155rpm_high_boundary,WARNING,1
roller_165rpm_high_boundary,WARNING,1
roller_180rpm_high_boundary,WARNING,1
roller_30rpm,WARNING,4
roller_30rpm_decel005,WARNING,1
roller_30rpm_diagnostic,WARNING,1
roller_60rpm,WARNING,3
roller_60rpm_accel000,WARNING,3
roller_60rpm_accel005,WARNING,3
roller_60rpm_accel020,WARNING,3
roller_60rpm_accel080,WARNING,3
roller_60rpm_decel000,WARNING,1
roller_60rpm_decel005,WARNING,1
roller_60rpm_decel020,WARNING,1
roller_60rpm_decel080,WARNING,1
roller_60rpm_diagnostic,WARNING,1
roller_60rpm_long10,WARNING,1
roller_60rpm_retest,WARNING,1
roller_90rpm,WARNING,3
roller__120rpm,WARNING,3
roller__120rpm_decel005,WARNING,1
roller__120rpm_decel080,WARNING,1
roller__120rpm_long10,WARNING,1
roller__165rpm_high_boundary,WARNING,1
roller__180rpm_high_boundary,WARNING,1
roller__30rpm,WARNING,3
roller__60rpm,WARNING,3
roller__60rpm_accel000,WARNING,3
roller__60rpm_accel005,WARNING,3
roller__60rpm_accel020,WARNING,3
roller__60rpm_accel080,WARNING,3
roller__60rpm_decel000,WARNING,1
roller__60rpm_decel005,WARNING,1
roller__60rpm_decel020,WARNING,1
roller__60rpm_decel080,WARNING,1
roller__60rpm_long10,WARNING,1
roller__90rpm,WARNING,3
rolling,WARNING,2
rolling_pickup,WARNING,10
stationary,INVALID,1
stationary,WARNING,20
stationary_wait,WARNING,1
track_step_drop,MIXED,1
track_step_drop,WARNING,10
