dimension,value,episodes
source,archive_20260904,152
source,manifest::research_ball_r1_pickup_precision_1d_gentle,11
source,manifest::research_ball_r1_pickup_precision_1e_step,11
source,manifest::research_ball_r1_pickup_precision_1a,10
source,manifest::research_ball_r1_pickup_precision_1c,10
source,manifest::research_ball_r1_pickup_precision_1c_drop,10
source,manifest::research_ball_r1_pickup_precision_1e_rail,10
source,manifest::research_ball_r1_pickup_precision_1b,10
source,manifest::research_ball_r1_manual_floor,7
source,manifest::research_ball_r0_stationary,2
dataset_id,putttrack_imu_dataset_20260904,152
dataset_id,research-ball-r1-pickup-precision-1d-gentle-20260904,11
dataset_id,research-ball-r1-pickup-precision-1e-step-20260904,11
dataset_id,research-ball-r1-pickup-precision-1a-20260904,10
dataset_id,research-ball-r1-pickup-precision-1c-20260904,10
dataset_id,research-ball-r1-pickup-precision-1c-drop-20260904,10
dataset_id,research-ball-r1-pickup-precision-1e-rail-20260904,10
dataset_id,research-ball-r1-pickup-precision-1b-20260904,10
dataset_id,research-ball-r1-manual-floor-20260903-b,7
dataset_id,research-ball-r0-stationary-20260903-a,2
device_id,f383571202836e6f,233
boot_id,b7d6474ba25dbade,120
boot_id,510a596420360248,72
boot_id,9dc0a61c80a7b522,10
boot_id,294a1c9179a35e1d,7
boot_id,eab45817668ee95c,7
boot_id,ef985d0c95f984b8,2
boot_id,fa891facf20a5a30,2
boot_id,863abe5c8af31e69,2
boot_id,c78aaac243d72244,2
boot_id,8881f66bd3ff32f0,2
boot_id,494536d972b66f97,1
boot_id,bb1ac212137419e3,1
boot_id,702f4c815bd31476,1
boot_id,ef8989aef9266bd2,1
boot_id,008bd481b00e99ce,1
boot_id,93b8fa391fb100a0,1
boot_id,e43db953104a376a,1
session,b7d6474ba25dbade,120
session,pickup-precision-1d-gentle-20260904,10
session,pickup-precision-1e-step-20260904,10
session,9dc0a61c80a7b522,10
session,pickup-precision-1a-20260904-183730,10
session,pickup-precision-1c-20260904,10
session,pickup-precision-1e-rail-20260904,10
session,pickup-precision-1b-20260904,10
session,pickup-precision-1c-drop-20260904-b,9
session,294a1c9179a35e1d,7
session,20260903-B,7
session,ef985d0c95f984b8,2
session,fa891facf20a5a30,2
session,863abe5c8af31e69,2
session,c78aaac243d72244,2
session,20260903-A,2
session,494536d972b66f97,1
session,bb1ac212137419e3,1
session,702f4c815bd31476,1
session,ef8989aef9266bd2,1
session,008bd481b00e99ce,1
session,93b8fa391fb100a0,1
session,pickup-precision-1d-gentle-replacement-20260904,1
session,e43db953104a376a,1
session,pickup-precision-1e-step-replacement-20260904,1
session,pickup-precision-1c-drop-20260904,1
operator,unknown,161
operator,A,72
firmware_version,0.1.17,199
firmware_version,0.1.6,11
firmware_version,0.1.7,9
firmware_version,0.1.9,3
firmware_version,0.1.5,3
firmware_version,0.1.11,2
firmware_version,0.1.13,2
firmware_version,0.1.2,1
firmware_version,0.1.3,1
firmware_version,0.1.4,1
firmware_version,0.1.8,1
core_revision,unknown,152
core_revision,PCA20072-carrier-R0,81
shell_revision,unknown,161
shell_revision,printed-two-half-R1,72
surface,unknown,154
surface,unspecified,62
surface,unspecified-safe,10
surface,flat-floor-unspecified,7
orientation,unknown,152
orientation,uncontrolled,48
orientation,varied-unmeasured,31
orientation,static-o1,1
orientation,static-o2; approximately 130 degrees from o1 by both accelerometers,1
