axis_consistency_1s,capture,context_bytes,dataset_id,episode_id,expected_pickup_from_rest,final_quality_flags,final_state,gyro_mean_1s_rads,label,manifest,pickup_event_boundary_pass,pickup_event_count,sample_count,seen_active_unknown,seen_carried_candidate,seen_rolling_candidate,seen_stationary,seen_unknown_quality,transition_count,vertical_impulse_mps
0.774,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r04.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-rotate-r04,False,8,UNKNOWN_QUALITY,3.186,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,551,True,False,False,True,True,6,0.09
0.874,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r05.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-rotate-r05,False,0,STATIONARY,2.162,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,551,True,False,False,True,False,4,0.138
0.688,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r06.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-rotate-r06,False,0,STATIONARY,4.235,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,550,True,False,False,True,False,4,0.089
0.972,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r07.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-slide-r07,False,0,STATIONARY,7.035,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,550,True,False,False,True,False,4,0.27
0.635,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r08.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-slide-r08,False,0,STATIONARY,2.881,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,551,True,False,False,True,False,4,0.134
0.885,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r09.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-slide-r09,False,0,STATIONARY,3.433,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,550,True,False,False,True,False,4,0.027
0.97,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r10.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-slide-r10,False,0,STATIONARY,7.716,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,551,True,False,False,True,False,4,0.158
0.415,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r01.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-touch-r01,False,0,STATIONARY,1.394,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,550,True,False,False,True,False,4,0.093
0.398,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r02.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-touch-r02,False,0,ACTIVE_UNKNOWN,2.532,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,550,True,False,False,True,False,3,0.09
0.505,experiments/research_ball_r1_pickup_precision_1a/raw/field-pickup-precision-1a-20260904-183730-handling-r03.jsonl,6232,research-ball-r1-pickup-precision-1a-20260904,handling-touch-r03,False,0,STATIONARY,3.548,handling,experiments/research_ball_r1_pickup_precision_1a/manifest.json,True,0,551,True,False,False,True,False,4,0.086
