ambiguous_contacts,archival_quality,authority,bmi_accel_near_rail_samples,bmi_gyro_near_rail_samples,category,context_bytes,count_incomplete,episode_id,event_truth,go_us,interpretation,label,manifest,operator,pickup_candidates,quality_breaks,raw_issues,samples,session,sha256,source,stroke_candidates,surface,unknown_onsets
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,handling-v0.1.7-001,UNAVAILABLE,,exploratory_only,handling,,unspecified,0,0,,1024,unspecified,d94181867dc41f348347996bd6670b73dcb9063cc88e5e809f25340cf47122a1,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/handling-v0.1.7-001.jsonl,0,unspecified,1
8,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,handling-v0.1.7-002,UNAVAILABLE,,exploratory_only,handling,,unspecified,0,0,,1024,unspecified,2bbfc24ff9612e803e6ac66f5fa31a8aef545f754c3cd529e820bdbea301c268,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/handling-v0.1.7-002.jsonl,0,unspecified,1
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,pickup-carry-001,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,0,,599,unspecified,9e6c717eaccde7ded571ea6c134e51129a5969d69e4bfcd6f0ac63572e44641c,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-001.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,pickup-carry-002,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,0,,1478,unspecified,fd1934c85dcaee9838fbc9e2121df66d8fd02e2dedf3a9733d20315655318c19,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-002.jsonl,0,unspecified,0
11,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,pickup-carry-003,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,0,,502,unspecified,0d136e74e24d4319aa8af113cdc6221619aa010e0f7051d9280a286b3a59b177,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-003.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,pickup-carry-natural-001,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,0,,64,unspecified,8a8197a4d22b47adf8957350efeeade883227056b63e6415fe1d026c826d34b5,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-natural-001.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,pickup-carry-natural-002,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,5,,14610,unspecified,bc24af1d5890ff3c55abd3d3dc09795076bbeed564320dfbc788e03278e9d194,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-natural-002.jsonl,0,unspecified,0
2,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,True,pickup-carry-natural-v0.1.7-001,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,0,,1024,unspecified,00108a758197c933224e70240d4416e505dd2462171cbe65de5f4b6821a722d1,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-natural-v0.1.7-001.jsonl,0,unspecified,1
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,pickup-carry-natural-v0.1.7-002,UNAVAILABLE,,exploratory_only,pickup_carry,,unspecified,0,0,,1024,unspecified,7b219baf12274f8ec71fedb8eed6e1dbcd401cd24e88d38e53cbec408fac9646,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/pickup-carry-natural-v0.1.7-002.jsonl,0,unspecified,0
0,legacy_exploratory,False,0,0,01_early_firmware_and_motion_tests,1256,False,tag-labelled-workflow-v0.1.5,UNAVAILABLE,,exploratory_only,stationary,,unspecified,0,0,,64,unspecified,6d249cbae65ad6abafce2642eed96851e2174395172d8d635ad6eccbe7fa7248,datasets/putttrack_imu_dataset_20260904.zip::putttrack_imu_dataset_20260904/data/01_early_firmware_and_motion_tests/tag-labelled-workflow-v0.1.5.jsonl,0,unspecified,0
