ambiguous_contacts,captures,captures_with_pickup_candidate,captures_with_stroke_candidate,category,label,pickup_candidates,raw_issue_captures,samples,stroke_candidates
0,5,0,0,01_early_firmware_and_motion_tests,,0,0,461,0
13,4,1,0,01_early_firmware_and_motion_tests,handling,1,0,3864,0
13,7,0,0,01_early_firmware_and_motion_tests,pickup_carry,0,0,19301,0
0,15,0,0,01_early_firmware_and_motion_tests,stationary,0,0,10325,0
0,1,0,0,01_early_firmware_and_motion_tests,stationary_wait,0,0,64,0
2,3,0,0,04_roller_preliminary,roller_120rpm,0,0,1501,0
0,1,0,0,04_roller_preliminary,roller_120rpm_live,0,0,64,0
0,1,0,0,04_roller_preliminary,roller_30rpm,0,0,850,0
0,1,0,0,04_roller_preliminary,roller_30rpm_diagnostic,0,0,651,0
0,1,0,0,04_roller_preliminary,roller_60rpm_diagnostic,0,0,651,0
0,1,0,0,04_roller_preliminary,roller_60rpm_retest,0,0,650,0
0,1,0,0,04_roller_preliminary,stationary,0,0,551,0
0,1,0,0,05_roller_official,low_speed_boundary_-10rpm,0,0,500,0
0,1,0,0,05_roller_official,low_speed_boundary_-15rpm,0,0,501,0
0,1,0,0,05_roller_official,low_speed_boundary_-1rpm,0,0,601,0
2,1,0,0,05_roller_official,low_speed_boundary_-20rpm,0,0,501,0
0,1,0,0,05_roller_official,low_speed_boundary_-2rpm,0,0,600,0
0,1,0,0,05_roller_official,low_speed_boundary_-3rpm,0,0,601,0
0,1,0,0,05_roller_official,low_speed_boundary_-5rpm,0,0,500,0
0,1,0,0,05_roller_official,low_speed_boundary_10rpm,0,0,500,0
1,1,0,0,05_roller_official,low_speed_boundary_15rpm,0,0,500,0
0,1,0,0,05_roller_official,low_speed_boundary_1rpm,0,0,600,0
1,1,0,0,05_roller_official,low_speed_boundary_20rpm,0,0,501,0
0,1,0,0,05_roller_official,low_speed_boundary_2rpm,0,0,601,0
0,1,0,0,05_roller_official,low_speed_boundary_3rpm,0,0,601,0
0,1,0,0,05_roller_official,low_speed_boundary_5rpm,0,0,501,0
0,3,0,0,05_roller_official,roller_-120rpm,0,0,1352,0
1,1,0,0,05_roller_official,roller_-120rpm_decel005,0,0,650,0
0,1,0,0,05_roller_official,roller_-120rpm_decel080,0,0,650,0
1,1,0,0,05_roller_official,roller_-120rpm_long10,0,0,750,0
0,1,0,0,05_roller_official,roller_-165rpm_high_boundary,0,0,450,0
1,1,0,0,05_roller_official,roller_-180rpm_high_boundary,0,0,450,0
4,3,0,0,05_roller_official,roller_-30rpm,0,0,1351,0
6,3,0,0,05_roller_official,roller_-60rpm,0,0,1350,0
