episode_id,capture,label,session,trial,core_revision,shell_revision,mass_g,surface,orientation,strength,video_ref,operator,notes,capture_path,device_id,boot_id,firmware_version,diagnostic_state,diagnostic_passed,quality_status,quality_issues,sample_count,duration_s,observed_rate_hz,sequence_gaps,valid_fraction,accel_norm_mean_mps2,accel_norm_stdev_mps2,accel_norm_min_mps2,accel_norm_max_mps2,gyro_norm_rms_rads,gyro_norm_max_rads,jerk_norm_rms_mps3,jerk_norm_peak_mps3,active_sample_fraction,first_active_offset_s,last_active_offset_s,adxl367_clip_samples,bmi270_accel_clip_samples,bmi270_gyro_clip_samples
pickup-carry-normal-r01,raw/field-pickup-precision-1c-20260904-pickup_carry-r01.jsonl,pickup_carry,pickup-precision-1c-20260904,001,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,normal-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r01.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,PASS,,750,14.979968,50.000106809306935,0,1.0,10.542746756489045,1.7755009581510284,5.771476265646945,27.925042889031502,2.0049807958396073,8.768445458443988,65.24874130413549,812.0601049789425,0.49333333333333335,5.12,12.54,0,0,0
pickup-carry-normal-r02,raw/field-pickup-precision-1c-20260904-pickup_carry-r02.jsonl,pickup_carry,pickup-precision-1c-20260904,002,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,normal-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r02.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,PASS,,750,14.980032,49.99989319114939,0,1.0,10.727654049804636,2.024350165877381,4.582460855131443,19.386376182933105,2.2601578286227415,6.933764480842063,42.84577434168732,423.3299022457693,0.6186666666666667,5.080032,14.34,0,0,0
pickup-carry-normal-r03,raw/field-pickup-precision-1c-20260904-pickup_carry-r03.jsonl,pickup_carry,pickup-precision-1c-20260904,003,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,normal-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r03.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.509435440564818,2.170420569292029,3.923352863664445,24.105285772573286,1.6679052873349662,7.4447090269985035,37.993019532301005,529.2654053474031,0.28933333333333333,6.96,11.359968,1,0,0
pickup-carry-normal-r04,raw/field-pickup-precision-1c-20260904-pickup_carry-r04.jsonl,pickup_carry,pickup-precision-1c-20260904,004,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,normal-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r04.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.622968865036059,2.459095996569889,5.229290556407627,26.63283391069176,2.3420433289443796,10.942306750779244,53.63976341737178,422.0129545454049,0.4746666666666667,4.92,12.019968,1,0,0
pickup-carry-slow-r05,raw/field-pickup-precision-1c-20260904-pickup_carry-r05.jsonl,pickup_carry,pickup-precision-1c-20260904,005,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,slow-smooth-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r05.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.980032,49.99989319114939,0,1.0,10.791010339265668,3.17336691659492,2.1433712344092424,35.81984043232597,4.056014641584131,16.699094556780647,125.48767380860953,1294.0866877867036,0.38266666666666665,4.78,10.5,8,0,0
pickup-carry-slow-r06,raw/field-pickup-precision-1c-20260904-pickup_carry-r06.jsonl,pickup_carry,pickup-precision-1c-20260904,006,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,slow-smooth-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r06.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,PASS,,750,14.980032,49.99989319114939,0,1.0,10.458249507208592,1.865649595235454,4.90372161768549,20.986460696527892,1.9858971204886702,7.339630078587476,41.00577159942925,376.22282705205583,0.492,3.96,11.700032,0,0,0
pickup-carry-slow-r07,raw/field-pickup-precision-1c-20260904-pickup_carry-r07.jsonl,pickup_carry,pickup-precision-1c-20260904,007,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,slow-smooth-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r07.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.480126869095153,2.3086522740475495,3.862886862267778,28.088258433279357,2.1756864546906276,7.969175302820047,58.823425291915065,1000.1302406943245,0.3506666666666667,6.98,12.220032,1,0,0
pickup-carry-fast-r08,raw/field-pickup-precision-1c-20260904-pickup_carry-r08.jsonl,pickup_carry,pickup-precision-1c-20260904,008,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,faster-natural-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r08.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,PASS,,751,15.0,50.0,0,1.0,10.326775176911093,1.6047469120905475,5.940042233628563,20.230461683638637,2.0061921408843757,11.694553674636326,30.95812485582757,318.27189441874503,0.3848202396804261,4.66,10.44,0,0,0
pickup-carry-fast-r09,raw/field-pickup-precision-1c-20260904-pickup_carry-r09.jsonl,pickup_carry,pickup-precision-1c-20260904,009,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,faster-natural-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r09.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,10.000477994415727,1.3200158922833019,4.695544366257229,21.948299836540162,1.5285949854840613,9.52952340340696,50.23008167101092,685.986748693851,0.25466666666666665,5.52,9.340032,1,0,0
pickup-carry-fast-r10,raw/field-pickup-precision-1c-20260904-pickup_carry-r10.jsonl,pickup_carry,pickup-precision-1c-20260904,010,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,faster-natural-planned,,A,"Frozen-V0 stationary-start pickup holdout. Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported pickup from rest, 2-3 seconds of walking and gentle placement after each visible GO cue. Surface material and independent video truth were not recorded. Do not tune V0 thresholds from this set.",raw/field-pickup-precision-1c-20260904-pickup_carry-r10.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,750,14.98,50.0,0,1.0,11.32385210440182,4.424560766496519,2.3954463647138917,34.03417785450775,3.274951821978993,17.385304229364927,78.44999206517416,823.4119044756785,0.496,5.3,12.780032,26,0,0
