episode_id,capture,label,session,trial,core_revision,shell_revision,mass_g,surface,orientation,strength,video_ref,operator,notes,capture_path,device_id,boot_id,firmware_version,diagnostic_state,diagnostic_passed,quality_status,quality_issues,sample_count,duration_s,observed_rate_hz,sequence_gaps,valid_fraction,accel_norm_mean_mps2,accel_norm_stdev_mps2,accel_norm_min_mps2,accel_norm_max_mps2,gyro_norm_rms_rads,gyro_norm_max_rads,jerk_norm_rms_mps3,jerk_norm_peak_mps3,active_sample_fraction,first_active_offset_s,last_active_offset_s,adxl367_clip_samples,bmi270_accel_clip_samples,bmi270_gyro_clip_samples
putt-gentle-very-light-r01,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r01.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,001,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,very-light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r01.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.98,50.0,0,1.0,10.040590845399597,2.3280783994796685,1.0229345959898903,40.54651961785259,9.803376876698467,35.13343251617436,165.17074018746047,1960.2251738194907,0.23066666666666666,7.800032,11.24,5,0,17
putt-gentle-very-light-r02,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r02.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,002,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,very-light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r02.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.979968,50.000106809306935,0,1.0,10.342323540181335,4.998670765913223,0.9936900167008824,106.83274159989709,13.303299656397533,37.9167026495219,346.0027778462857,4855.898153417196,0.25466666666666665,6.899968,10.699968,21,0,57
putt-gentle-very-light-r03,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r03.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,003,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,very-light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r03.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.98,50.0,0,1.0,10.264644094792683,3.881141758389828,2.1528768872689867,77.5994763416281,12.828428187324993,46.6279506330061,296.02792870890187,3397.1848147927317,0.26666666666666666,5.680032,9.7,25,0,40
putt-gentle-light-r04,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r04.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,004,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r04.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.979968,50.000106809306935,0,1.0,11.261444255902443,6.017638653132606,0.23346275813285508,104.73092933167524,15.364474099418906,47.441873780995316,353.68912550632206,4781.295853872677,0.31466666666666665,4.839968,9.619968,18,0,78
putt-gentle-plus-obstacle-r05,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r05.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,005,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-planned-mixed,,A,Operator reported that the Ball hit an obstacle after the gentle putt. Preserve as a mixed putt-plus-collision negative; exclude from clean unobstructed-putt analysis.,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r05.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.979968,50.000106809306935,0,1.0,11.206904290612155,5.354516596972199,0.16518659517648518,48.77485295147755,14.44092458154978,45.57568381631181,327.79060380500596,1940.5160711504893,0.224,7.34,10.699968,44,0,55
putt-gentle-light-r06,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r06.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,006,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r06.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping,751,15.0,50.0,0,1.0,10.075466740150658,2.338837191573733,1.0577595011825704,41.26233590717865,7.661143245775529,32.617493475211745,176.63105448666784,1771.8728343237465,0.21571238348868177,5.439968,8.699968,5,0,0
putt-gentle-light-r07,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r07.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,007,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r07.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.980032,49.99989319114939,0,1.0,10.452108423130229,3.496665296068825,0.41863487275309497,44.9447327361436,11.732164275430293,36.62682232783373,212.9691552460038,1777.7389373551973,0.2946666666666667,5.2,9.66,14,0,32
putt-gentle-varied-r08,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r08.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,008,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-varied-direction-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r08.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.98,50.0,0,1.0,10.703137876141836,4.848055827003275,0.8230027454322373,73.90236361109037,12.549440488897506,37.643258691309775,331.78288444887784,3198.2828682400927,0.2813333333333333,6.68,10.88,25,0,43
putt-gentle-varied-r09,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r09.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,009,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-varied-direction-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r09.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,751,14.999968,50.00010666689422,0,1.0,10.238221392283462,3.178188971965448,0.396293281646308,46.205219054134076,11.817507661426932,38.54894162181386,227.99514679654752,2003.2331753051333,0.26498002663115844,6.24,10.239968,13,0,28
putt-gentle-varied-r10,raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r10.jsonl,putt_gentle,pickup-precision-1d-gentle-20260904,010,PCA20072-carrier-R0,printed-two-half-R1,,unspecified,varied-unmeasured,light-varied-direction-planned,,A,"Assembled Ball, firmware 0.1.17, device f383571202836e6f. Operator reported one gentle putt and natural settling without pickup after each visible GO cue. Surface, travel distance/speed and independent video truth were not measured. Episode r05 additionally hit an obstacle and is excluded from clean unobstructed-putt comparisons.",raw/field-pickup-precision-1d-gentle-20260904-putt_gentle-r10.jsonl,f383571202836e6f,510a596420360248,0.1.17,ACTIVE_MOTION_CANDIDATE,True,WARN,adxl367_clipping;bmi270_gyro_clipping,750,14.980032,49.99989319114939,0,1.0,11.580177835782047,6.321065843136899,1.1834690099216794,80.57447869685494,20.41477317062607,50.0236632884744,355.3259420681497,3530.5894107899526,0.3933333333333333,7.200032,13.08,102,0,126
